step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,7.500e-07,10.7116,10.7153,10.7104,2.5,0.1
100,6553600,7.500e-05,9.1298,8.2358,7.7401,100.6,3.5
200,13107200,1.500e-04,6.9503,7.3479,6.3684,202.2,6.8
300,19660800,1.500e-04,6.0462,6.8776,5.8145,303.4,10.2
400,26214400,1.500e-04,5.6332,6.5749,5.4851,405.3,13.6
500,32768000,1.500e-04,5.3377,6.3154,5.2447,507.0,17.0
600,39321600,1.500e-04,5.1269,6.1197,5.0573,608.6,20.4
700,45875200,1.500e-04,4.9799,5.9642,4.8985,710.4,23.8
800,52428800,1.500e-04,4.8146,5.8258,4.7729,812.6,27.1
900,58982400,1.500e-04,4.7028,5.6784,4.6633,914.2,30.5
1000,65536000,1.500e-04,4.5994,5.5630,4.5685,1015.9,33.9
1100,72089600,1.500e-04,4.5086,5.4743,4.4922,1118.1,37.3
1200,78643200,1.500e-04,4.4313,5.3536,4.4165,1219.9,40.7
1300,85196800,1.500e-04,4.3805,5.2042,4.3485,1321.6,44.0
1400,91750400,1.500e-04,4.2929,5.0603,4.2763,1423.2,47.4
1500,98304000,1.500e-04,4.2222,4.9063,4.2041,1524.5,50.8
1600,104857600,1.500e-04,4.1514,4.7751,4.1446,1626.3,54.2
1700,111411200,1.129e-04,4.0920,4.6371,4.0817,1728.6,57.5
1800,117964800,7.537e-05,4.0225,4.5495,4.0301,1830.5,60.9
1900,124518400,3.787e-05,3.9985,4.4739,3.9893,1932.2,64.3
2000,131072000,3.750e-07,3.9346,4.4400,3.9356,2038.8,67.6
