step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,5.000e-06,10.7453,10.6928,10.6675,2.5,0.2
100,6553600,5.000e-04,7.6905,7.1763,6.1584,83.7,4.0
200,13107200,1.000e-03,5.7048,6.5602,5.4388,167.6,8.4
300,19660800,1.000e-03,5.2083,6.2082,5.0347,253.3,12.5
400,26214400,1.000e-03,4.8960,5.8880,4.7981,339.3,16.3
500,32768000,1.000e-03,4.7001,5.6326,4.6365,425.3,20.1
600,39321600,1.000e-03,4.5480,5.3368,4.4897,511.5,24.0
700,45875200,1.000e-03,4.4188,5.0733,4.3587,597.8,27.8
800,52428800,1.000e-03,4.2848,4.9253,4.2753,684.2,31.6
900,58982400,1.000e-03,4.2126,4.7620,4.1956,770.7,35.4
1000,65536000,1.000e-03,4.1353,4.7096,4.1414,856.8,39.3
1100,72089600,1.000e-03,4.1013,4.5775,4.0950,943.2,43.0
1200,78643200,1.000e-03,4.0532,4.5968,4.0662,1029.8,47.0
1300,85196800,1.000e-03,4.0028,4.4929,4.0232,1116.9,51.2
1400,91750400,1.000e-03,3.9839,4.4602,3.9955,1203.3,55.0
1500,98304000,1.000e-03,3.9440,4.3772,3.9655,1289.9,58.9
1600,104857600,1.000e-03,3.9216,4.3398,3.9444,1376.7,62.7
1700,111411200,7.525e-04,3.8939,4.2758,3.8881,1463.4,66.5
1800,117964800,5.025e-04,3.8283,4.1979,3.8372,1550.0,70.4
1900,124518400,2.525e-04,3.7869,4.1516,3.7872,1636.9,74.3
2000,131072000,2.500e-06,3.7391,4.0848,3.7237,1726.9,78.1
