step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,2.65647,2.93910,2.96076,2.81811,2.59287,1.97150,9.0
25,819200,2.000e-06,2.62454,2.65571,2.93944,2.96338,2.80936,2.59519,1.97121,380.3
50,1638400,2.000e-06,2.68010,2.65975,2.94413,2.96968,2.80384,2.59921,1.98189,749.1
75,2457600,2.000e-06,2.64681,2.66378,2.95005,2.97560,2.80131,2.60438,1.98758,1117.7
100,3276800,2.000e-06,2.61730,2.66769,2.95370,2.97886,2.80418,2.60944,1.99228,1486.9
125,4096000,2.000e-06,2.62321,2.67157,2.96240,2.98354,2.80288,2.61269,1.99635,1855.8
150,4915200,2.000e-06,2.62821,2.67654,2.96676,2.98874,2.80802,2.61769,2.00148,2224.8
175,5734400,1.300e-06,2.61433,2.67976,2.96991,2.99316,2.80761,2.61880,2.00934,2594.7
200,6553600,5.000e-08,2.57925,2.67861,2.96858,2.99174,2.80584,2.61915,2.00774,2963.6
