step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.6,0.2
100,6553600,1.000e-03,7.4798,6.8914,5.8618,91.4,8.4
200,13107200,2.000e-03,5.4228,6.2474,5.1165,183.1,17.5
300,19660800,2.000e-03,4.9083,5.8434,4.7570,274.7,26.4
400,26214400,2.000e-03,4.6387,5.5507,4.5622,365.5,34.5
500,32768000,2.000e-03,4.4659,5.1955,4.4035,455.9,42.4
600,39321600,2.000e-03,4.2983,4.8753,4.2604,546.3,50.1
700,45875200,2.000e-03,4.1962,4.7039,4.1668,636.8,57.9
800,52428800,2.000e-03,4.1027,4.5708,4.1030,727.1,65.7
900,58982400,2.000e-03,4.0514,4.4664,4.0471,817.5,73.4
1000,65536000,2.000e-03,3.9870,4.4253,4.0028,907.9,81.2
1100,72089600,2.000e-03,3.9645,4.3471,3.9683,998.4,88.9
1200,78643200,2.000e-03,3.9262,4.3222,3.9359,1088.9,96.7
1300,85196800,2.000e-03,3.8791,4.2860,3.9084,1179.3,104.4
1400,91750400,2.000e-03,3.8688,4.2488,3.8833,1269.8,112.2
1500,98304000,2.000e-03,3.8356,4.2026,3.8588,1360.1,119.9
1600,104857600,2.000e-03,3.8155,4.1624,3.8357,1450.6,127.6
1700,111411200,1.505e-03,3.7900,4.1271,3.7929,1540.9,135.3
1800,117964800,1.005e-03,3.7376,4.0643,3.7509,1631.4,143.0
1900,124518400,5.050e-04,3.7043,4.0145,3.7080,1721.7,150.7
2000,131072000,5.000e-06,3.6654,3.9691,3.6505,1815.5,158.3
