step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,2.000e-05,10.7453,10.7275,10.7190,2.5,0.2
100,6553600,2.000e-03,7.0470,6.7684,5.6641,90.8,7.6
200,13107200,4.000e-03,5.2974,6.1998,5.0628,181.2,15.0
300,19660800,4.000e-03,4.9231,5.9037,4.7930,271.4,22.5
400,26214400,4.000e-03,4.6881,5.6619,4.6188,361.6,29.9
500,32768000,4.000e-03,4.5474,5.4646,4.5019,451.8,37.4
600,39321600,4.000e-03,4.4336,5.2693,4.3974,542.0,44.8
700,45875200,4.000e-03,4.3369,5.0407,4.2918,632.1,52.2
800,52428800,4.000e-03,4.2181,4.8330,4.2050,722.3,59.7
900,58982400,4.000e-03,4.1482,4.6870,4.1361,812.5,67.1
1000,65536000,4.000e-03,4.0722,4.5758,4.0840,902.9,74.5
1100,72089600,4.000e-03,4.0392,4.4859,4.0448,993.1,82.0
1200,78643200,4.000e-03,3.9947,4.4198,4.0052,1083.5,89.5
1300,85196800,4.000e-03,3.9415,4.3748,3.9720,1173.8,96.9
1400,91750400,4.000e-03,3.9275,4.3237,3.9434,1264.0,104.4
1500,98304000,4.000e-03,3.8912,4.2760,3.9191,1354.1,111.8
1600,104857600,4.000e-03,3.8694,4.2306,3.8920,1444.4,119.2
1700,111411200,3.010e-03,3.8435,4.1915,3.8488,1534.7,126.7
1800,117964800,2.010e-03,3.7895,4.1308,3.8040,1624.9,134.1
1900,124518400,1.010e-03,3.7552,4.0740,3.7599,1715.0,141.6
2000,131072000,1.000e-05,3.7143,4.0283,3.7015,1808.5,149.1
