step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.500e-06,10.7453,10.7235,10.7122,2.5,0.1
100,6553600,1.500e-04,8.5596,7.7766,6.9960,86.0,3.5
200,13107200,3.000e-04,6.4520,7.1750,6.0379,171.8,6.9
300,19660800,3.000e-04,5.8064,6.7598,5.6168,257.5,10.2
400,26214400,3.000e-04,5.4419,6.4916,5.3297,343.3,13.7
500,32768000,3.000e-04,5.1953,6.2489,5.1145,429.3,17.1
600,39321600,3.000e-04,5.0100,6.0525,4.9424,515.2,20.5
700,45875200,3.000e-04,4.8774,5.8928,4.8083,601.0,23.9
800,52428800,3.000e-04,4.7426,5.7688,4.7010,686.7,27.3
900,58982400,3.000e-04,4.6514,5.6418,4.6032,772.6,30.6
1000,65536000,3.000e-04,4.5540,5.5622,4.5234,858.5,34.1
1100,72089600,3.000e-04,4.4914,5.4488,4.4575,944.7,37.6
1200,78643200,3.000e-04,4.4260,5.3710,4.3977,1030.7,41.0
1300,85196800,3.000e-04,4.3530,5.2900,4.3438,1116.7,44.4
1400,91750400,3.000e-04,4.3120,5.1736,4.2909,1203.0,47.8
1500,98304000,3.000e-04,4.2391,5.0264,4.2297,1288.9,51.2
1600,104857600,3.000e-04,4.1746,4.8812,4.1602,1375.6,54.9
1700,111411200,2.257e-04,4.1166,4.7393,4.1006,1462.5,59.2
1800,117964800,1.507e-04,4.0436,4.6200,4.0433,1548.7,62.5
1900,124518400,7.575e-05,4.0009,4.5351,3.9948,1634.7,65.9
2000,131072000,7.500e-07,3.9571,4.4968,3.9448,1724.2,69.3
