step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,2.65647,2.93910,2.96076,2.81811,2.59287,1.97150,9.1
25,819200,1.000e-05,2.62524,2.65640,2.94056,2.96486,2.80798,2.59666,1.97194,396.2
50,1638400,1.000e-05,2.67927,2.66134,2.94616,2.97201,2.80215,2.60223,1.98415,781.6
75,2457600,1.000e-05,2.64224,2.66542,2.95066,2.97714,2.80579,2.60618,1.98736,1167.3
100,3276800,1.000e-05,2.61072,2.66809,2.95417,2.97691,2.80928,2.60905,1.99103,1552.9
125,4096000,1.000e-05,2.61189,2.66944,2.95955,2.97970,2.80233,2.61182,1.99380,1938.4
150,4915200,1.000e-05,2.61565,2.67315,2.96182,2.98398,2.80736,2.61668,1.99590,2323.9
175,5734400,6.500e-06,2.59902,2.67454,2.96396,2.98513,2.80442,2.61816,2.00104,2709.5
200,6553600,2.500e-07,2.56390,2.67287,2.96170,2.98424,2.80166,2.61790,1.99883,3095.1
