step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,2.65647,2.93910,2.96076,2.81811,2.59287,1.97150,9.0
25,819200,1.000e-05,2.62372,2.66593,2.95251,2.97506,2.81196,2.60630,1.98383,381.1
50,1638400,1.000e-05,2.68709,2.67364,2.95766,2.98608,2.81280,2.61537,1.99628,751.2
75,2457600,1.000e-05,2.65286,2.67925,2.96545,2.99005,2.82209,2.62350,1.99516,1120.9
100,3276800,1.000e-05,2.62107,2.68025,2.96510,2.98845,2.82602,2.61953,2.00216,1491.2
125,4096000,1.000e-05,2.62263,2.68129,2.97268,2.99206,2.81703,2.62067,2.00402,1861.3
150,4915200,1.000e-05,2.62648,2.68591,2.97437,2.99676,2.82288,2.62656,2.00899,2231.3
175,5734400,6.500e-06,2.60999,2.68618,2.97572,2.99754,2.81996,2.62873,2.00897,2602.4
200,6553600,2.500e-07,2.57183,2.68021,2.96969,2.99320,2.81042,2.62367,2.00408,2972.4
