step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.3
50,1638400,3.000e-05,3.37211,3.16172,3.19013,3.40108,2.90548,3.14304,3.16887,80.6
100,3276800,3.000e-05,3.25929,3.13128,3.18348,3.38741,2.86312,3.13343,3.08894,156.6
150,4915200,3.000e-05,3.21415,3.11626,3.17603,3.38134,2.85517,3.12880,3.03996,232.5
200,6553600,3.000e-05,3.19499,3.10487,3.17409,3.37952,2.84266,3.12157,3.00653,308.4
250,8192000,3.000e-05,3.18576,3.09739,3.17564,3.38096,2.82474,3.12243,2.98316,384.3
300,9830400,3.000e-05,3.17885,3.09012,3.17363,3.37995,2.81450,3.11934,2.96316,460.2
350,11468800,3.000e-05,3.16471,3.08649,3.17130,3.37912,2.80658,3.12237,2.95306,536.1
400,13107200,3.000e-05,3.16223,3.08267,3.17141,3.37733,2.80268,3.12404,2.93789,612.0
450,14745600,3.000e-05,3.15729,3.07953,3.17212,3.38020,2.79655,3.12309,2.92572,687.9
500,16384000,2.525e-05,3.15696,3.07886,3.17383,3.37954,2.79796,3.12488,2.91809,763.8
550,18022400,1.275e-05,3.12764,3.07321,3.17112,3.37634,2.79094,3.12207,2.90558,839.7
600,19660800,2.500e-07,3.11743,3.07141,3.17054,3.37544,2.78895,3.12026,2.90182,915.6
