step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.9,0.2
100,6553600,1.000e-03,7.4896,6.9091,5.8758,107.4,8.5
200,13107200,2.000e-03,5.4426,6.2765,5.1441,214.2,17.0
300,19660800,2.000e-03,4.9449,5.9203,4.7999,321.9,25.8
400,26214400,2.000e-03,4.6947,5.6917,4.6233,429.2,34.2
500,32768000,2.000e-03,4.5547,5.4744,4.5070,536.0,42.5
600,39321600,2.000e-03,4.4323,5.2555,4.3913,643.1,51.1
700,45875200,2.000e-03,4.3321,4.9922,4.2805,750.0,59.3
800,52428800,2.000e-03,4.2116,4.8096,4.1944,856.5,67.5
900,58982400,2.000e-03,4.1427,4.6609,4.1298,963.1,75.9
1000,65536000,2.000e-03,4.0663,4.5851,4.0782,1070.6,84.4
1100,72089600,2.000e-03,4.0349,4.4829,4.0396,1177.3,92.7
1200,78643200,2.000e-03,3.9888,4.4378,3.9982,1284.2,101.0
1300,85196800,2.000e-03,3.9368,4.3803,3.9633,1390.5,109.3
1400,91750400,2.000e-03,3.9216,4.3395,3.9355,1496.7,117.6
1500,98304000,2.000e-03,3.8842,4.2902,3.9098,1603.3,125.9
1600,104857600,2.000e-03,3.8603,4.2387,3.8841,1709.9,134.3
1700,111411200,1.505e-03,3.8361,4.2031,3.8429,1816.7,142.7
1800,117964800,1.005e-03,3.7831,4.1325,3.8003,1924.4,151.2
1900,124518400,5.050e-04,3.7516,4.0856,3.7580,2031.7,159.7
2000,131072000,5.000e-06,3.7139,4.0402,3.7013,2141.9,168.0
