optimizer,lr,seeds,eval_indist_mean,eval_indist_sd,delta_vs_muon,delta_vs_muon_se,eval_mix_seed0,opt_fraction
lhmuon,0.002,3,3.6981866881251335,0.006994509922787067,0.105952853957812,0.0033699608818425204,4.040162920951843,0.0784498359645373
muon,0.008,3,3.5922338341673217,0.0011726064126622276,,,3.841967038810253,0.08443268691382116
adamw,0.002,3,3.706602913637956,0.0010854715945141109,0.11436907947063446,0.00032700116760902474,4.050128139555454,0.03780957893969969
lion,0.00015,3,3.927857187887033,0.007436332459821941,0.3356233537197113,0.0049052668756674345,4.442302629351616,0.03471719889323057
