step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,7.500e-07,10.7453,10.7301,10.7219,2.5,0.1
100,6553600,7.500e-05,9.0735,8.1616,7.6700,99.8,3.5
200,13107200,1.500e-04,6.8820,7.3107,6.3206,200.8,7.0
300,19660800,1.500e-04,5.9944,6.8406,5.7608,302.0,10.5
400,26214400,1.500e-04,5.5643,6.5448,5.4360,402.9,14.0
500,32768000,1.500e-04,5.2911,6.3036,5.2064,504.2,17.4
600,39321600,1.500e-04,5.0911,6.0891,5.0178,604.9,20.9
700,45875200,1.500e-04,4.9424,5.9389,4.8691,706.1,24.5
800,52428800,1.500e-04,4.7928,5.7923,4.7491,807.3,28.0
900,58982400,1.500e-04,4.6857,5.6680,4.6363,908.3,31.5
1000,65536000,1.500e-04,4.5767,5.5584,4.5442,1009.1,35.1
1100,72089600,1.500e-04,4.5011,5.4439,4.4691,1110.0,38.6
1200,78643200,1.500e-04,4.4255,5.3365,4.4006,1210.8,42.2
1300,85196800,1.500e-04,4.3436,5.2364,4.3387,1311.1,45.7
1400,91750400,1.500e-04,4.2949,5.1058,4.2731,1412.1,49.3
1500,98304000,1.500e-04,4.2134,4.9294,4.2060,1513.0,52.8
1600,104857600,1.500e-04,4.1457,4.7840,4.1394,1613.9,56.3
1700,111411200,1.129e-04,4.0878,4.6519,4.0749,1715.8,59.8
1800,117964800,7.537e-05,4.0179,4.5520,4.0232,1816.9,63.3
1900,124518400,3.787e-05,3.9787,4.4751,3.9805,1918.4,66.8
2000,131072000,3.750e-07,3.9385,4.4423,3.9273,2023.4,70.2
