step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,3.750e-07,10.7453,10.7334,10.7268,2.4,0.1
100,6553600,3.750e-05,9.4792,8.7968,8.4819,93.9,4.9
200,13107200,7.500e-05,7.5791,7.6489,6.8489,189.9,9.0
300,19660800,7.500e-05,6.4360,7.0998,6.1003,287.7,12.5
400,26214400,7.500e-05,5.8662,6.7825,5.7138,387.5,16.5
500,32768000,7.500e-05,5.5405,6.5225,5.4406,488.2,20.7
600,39321600,7.500e-05,5.3076,6.2968,5.2270,590.4,25.5
700,45875200,7.500e-05,5.1337,6.1055,5.0585,692.9,30.4
800,52428800,7.500e-05,4.9681,5.9541,4.9168,795.5,35.3
900,58982400,7.500e-05,4.8453,5.7885,4.7943,897.9,40.2
1000,65536000,7.500e-05,4.7226,5.6878,4.6950,1000.0,45.0
1100,72089600,7.500e-05,4.6313,5.5417,4.6019,1102.7,49.9
1200,78643200,7.500e-05,4.5444,5.4226,4.5166,1205.4,54.8
1300,85196800,7.500e-05,4.4524,5.3383,4.4437,1308.1,59.7
1400,91750400,7.500e-05,4.3981,5.2236,4.3754,1411.4,64.6
1500,98304000,7.500e-05,4.3151,5.0930,4.3105,1513.8,69.1
1600,104857600,7.500e-05,4.2462,4.9541,4.2386,1616.2,72.7
1700,111411200,5.644e-05,4.1862,4.8281,4.1693,1717.8,76.2
1800,117964800,3.769e-05,4.1132,4.7245,4.1176,1819.6,79.8
1900,124518400,1.894e-05,4.0762,4.6542,4.0763,1919.2,83.3
2000,131072000,1.875e-07,4.0406,4.6315,4.0313,2019.0,86.8
