step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.2
50,1638400,3.000e-04,3.30444,3.15295,3.19901,3.41580,2.90274,3.16832,3.07888,80.9
100,3276800,3.000e-04,3.23580,3.13891,3.20873,3.41028,2.87650,3.16418,3.03486,157.3
150,4915200,3.000e-04,3.20237,3.13133,3.21330,3.40891,2.86518,3.17296,2.99629,233.6
200,6553600,3.000e-04,3.18714,3.12530,3.21342,3.42263,2.85562,3.16756,2.96726,310.0
250,8192000,3.000e-04,3.18227,3.12734,3.22728,3.42594,2.84220,3.18165,2.95961,386.3
300,9830400,3.000e-04,3.18006,3.12924,3.23265,3.44217,2.84791,3.17941,2.94406,462.6
350,11468800,3.000e-04,3.17116,3.12787,3.22372,3.44223,2.83942,3.19622,2.93777,539.0
400,13107200,3.000e-04,3.16750,3.12804,3.22743,3.44105,2.84411,3.19790,2.92969,615.3
450,14745600,3.000e-04,3.16382,3.12710,3.24213,3.44916,2.83069,3.19437,2.91918,691.6
500,16384000,2.525e-04,3.16629,3.12463,3.23877,3.44652,2.84039,3.19158,2.90592,767.9
550,18022400,1.275e-04,3.12276,3.10548,3.22441,3.43218,2.82003,3.17478,2.87601,844.2
600,19660800,2.500e-06,3.09886,3.09384,3.21475,3.42224,2.80410,3.16170,2.86640,920.5
