1601,104923136,8.000e-03,3.8292,4.1490,3.8663,2.5,0.2
1700,111411200,8.000e-03,3.8313,4.1364,3.8487,92.8,11.6
1800,117964800,8.000e-03,3.7944,4.1162,3.8363,186.3,22.7
1900,124518400,8.000e-03,3.8081,4.1125,3.8293,279.8,33.4
2000,131072000,8.000e-03,3.7901,4.0945,3.8162,376.4,46.6
2100,137625600,8.000e-03,3.8071,4.0938,3.8088,474.5,60.2
2200,144179200,8.000e-03,3.7837,4.0855,3.8038,574.4,76.0
2300,150732800,8.000e-03,3.7666,4.0784,3.7996,674.7,92.0
2400,157286400,8.000e-03,3.7680,4.0603,3.7954,774.4,107.4
2500,163840000,8.000e-03,3.7547,4.0701,3.7891,872.1,121.0
2600,170393600,8.000e-03,3.7623,4.0457,3.7848,968.8,133.2
2700,176947200,8.000e-03,3.7509,4.0537,3.7834,1066.4,146.4
2800,183500800,8.000e-03,3.7425,4.0452,3.7766,1163.9,160.0
2900,190054400,8.000e-03,3.7382,4.0575,3.7736,1262.3,174.2
3000,196608000,8.000e-03,3.7421,4.0487,3.7705,1360.5,188.2
3100,203161600,8.000e-03,3.7371,4.0328,3.7608,1458.6,202.2
3200,209715200,8.000e-03,3.7413,4.0177,3.7606,1555.0,214.4
3300,216268800,8.000e-03,3.7344,4.0171,3.7635,1651.8,227.1
3400,222822400,8.000e-03,3.7256,4.0376,3.7526,1748.4,239.8
3500,229376000,8.000e-03,3.7303,4.0109,3.7481,1843.0,250.2
3600,235929600,8.000e-03,3.7205,4.0176,3.7474,1933.9,257.6
3700,242483200,8.000e-03,3.7155,4.0035,3.7480,2024.5,265.0
3800,249036800,8.000e-03,3.7159,4.0046,3.7454,2115.2,272.4
3900,255590400,8.000e-03,3.7099,4.0130,3.7444,2205.8,279.8
4000,262144000,8.000e-03,3.7166,3.9947,3.7448,2300.4,290.6
4100,268697600,8.000e-03,3.7028,3.9818,3.7379,2397.5,303.9
4200,275251200,8.000e-03,3.7037,3.9862,3.7363,2496.4,318.4
4300,281804800,8.000e-03,3.7036,3.9901,3.7340,2596.6,333.9
4400,288358400,8.000e-03,3.6954,3.9897,3.7356,2696.9,349.4
4500,294912000,8.000e-03,3.7046,3.9808,3.7321,2796.1,364.2
4600,301465600,8.000e-03,3.6966,3.9840,3.7284,2895.5,379.0
4700,308019200,8.000e-03,3.7011,3.9906,3.7289,2994.4,393.3
4800,314572800,8.000e-03,3.6927,3.9759,3.7280,3093.1,407.6
4900,321126400,8.000e-03,3.6943,3.9705,3.7293,3191.4,421.3
5000,327680000,8.000e-03,3.6894,3.9756,3.7248,3288.5,434.0
5100,334233600,8.000e-03,3.6861,3.9644,3.7257,3385.7,447.2
5200,340787200,8.000e-03,3.6871,3.9651,3.7232,3484.2,461.4
5300,347340800,8.000e-03,3.6791,3.9942,3.7206,3581.7,474.2
5400,353894400,8.000e-03,3.6884,3.9609,3.7199,3678.7,486.8
5500,360448000,8.000e-03,3.6977,3.9434,3.7168,3776.6,500.5
5600,367001600,8.000e-03,3.6789,3.9659,3.7183,3875.3,514.6
5700,373555200,8.000e-03,3.6738,3.9524,3.7146,3974.3,529.1
5800,380108800,8.000e-03,3.6809,3.9520,3.7124,4073.4,543.6
5900,386662400,8.000e-03,3.6893,3.9620,3.7089,4170.3,556.3
6000,393216000,8.000e-03,3.6783,3.9402,3.7126,4266.4,568.2
6100,399769600,8.000e-03,3.6885,3.9664,3.7074,4362.7,580.3
6200,406323200,8.000e-03,3.6690,3.9639,3.7108,4458.1,591.7
6300,412876800,8.000e-03,3.6773,3.9683,3.7106,4553.4,602.9
6400,419430400,8.000e-03,3.6689,3.9614,3.7086,4648.8,614.3
6500,425984000,7.505e-03,3.6695,3.9459,3.6908,4747.3,627.3
6600,432537600,7.005e-03,3.6663,3.9128,3.6722,4846.1,641.8
6700,439091200,6.505e-03,3.6234,3.8991,3.6573,4943.2,654.6
6800,445644800,6.005e-03,3.5990,3.8708,3.6348,5040.5,667.0
6900,452198400,5.505e-03,3.6014,3.8653,3.6149,5137.9,680.0
7000,458752000,5.005e-03,3.5883,3.8284,3.5903,5234.2,692.1
7100,465305600,4.505e-03,3.5529,3.8061,3.5758,5329.4,703.2
7200,471859200,4.005e-03,3.5332,3.7960,3.5516,5425.1,715.1
7300,478412800,3.505e-03,3.5226,3.7500,3.5313,5522.4,727.1
7400,484966400,3.005e-03,3.4970,3.7204,3.5092,5621.7,741.2
7500,491520000,2.505e-03,3.4844,3.6922,3.4844,5723.0,757.0
7600,498073600,2.005e-03,3.4486,3.6612,3.4620,5822.6,771.4
7700,504627200,1.505e-03,3.4251,3.6395,3.4383,5921.6,785.3
7800,511180800,1.005e-03,3.3831,3.6073,3.4159,6021.0,799.4
7900,517734400,5.050e-04,3.3779,3.5882,3.3967,6119.2,812.9
8000,524288000,5.000e-06,3.3642,3.5445,3.3534,6221.8,826.8
