step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7116,10.7165,10.7131,2.5,0.2
100,6553600,1.000e-03,7.5012,6.8759,5.8730,90.6,7.8
200,13107200,2.000e-03,5.4640,6.2828,5.1401,180.9,15.5
300,19660800,2.000e-03,4.9342,5.9245,4.7890,271.2,23.2
400,26214400,2.000e-03,4.7075,5.6485,4.6188,361.4,30.9
500,32768000,2.000e-03,4.5491,5.4532,4.4959,451.8,38.6
600,39321600,2.000e-03,4.4334,5.2243,4.3862,542.2,46.3
700,45875200,2.000e-03,4.3352,5.0021,4.2791,632.6,54.1
800,52428800,2.000e-03,4.2025,4.8082,4.1909,722.9,61.8
900,58982400,2.000e-03,4.1295,4.6587,4.1255,813.2,69.5
1000,65536000,2.000e-03,4.0689,4.5542,4.0741,903.5,77.2
1100,72089600,2.000e-03,4.0169,4.4846,4.0321,993.9,84.9
1200,78643200,2.000e-03,3.9660,4.4246,3.9878,1084.3,92.6
1300,85196800,2.000e-03,3.9539,4.3395,3.9524,1174.7,100.3
1400,91750400,2.000e-03,3.9069,4.3074,3.9203,1265.0,108.0
1500,98304000,2.000e-03,3.8840,4.2531,3.8950,1355.3,115.7
1600,104857600,2.000e-03,3.8545,4.2206,3.8731,1445.7,123.4
1700,111411200,1.505e-03,3.8251,4.1575,3.8308,1536.1,131.1
1800,117964800,1.005e-03,3.7689,4.1043,3.7844,1626.5,138.9
1900,124518400,5.050e-04,3.7540,4.0505,3.7460,1717.0,146.6
2000,131072000,5.000e-06,3.6925,4.0094,3.6902,1810.8,154.3
