1601,104923136,1.500e-04,4.1658,4.8604,4.1608,2.9,0.1
1700,111411200,1.129e-04,4.1164,4.7147,4.0975,101.9,6.5
1800,117964800,7.537e-05,4.0259,4.6041,4.0420,202.4,13.0
1900,124518400,3.787e-05,3.9969,4.5374,3.9992,300.8,19.2
2000,131072000,3.750e-07,3.9488,4.4963,3.9474,402.3,25.6
