1601,104923136,2.000e-03,3.7776,4.1120,3.8072,3.0,0.2
1700,111411200,2.000e-03,3.7780,4.1014,3.7898,101.3,13.1
1800,117964800,2.000e-03,3.7356,4.0769,3.7770,210.3,26.6
1900,124518400,2.000e-03,3.7448,4.0607,3.7621,320.3,38.9
2000,131072000,2.000e-03,3.7217,4.0299,3.7449,433.5,53.8
2100,137625600,2.000e-03,3.7348,4.0401,3.7336,548.7,69.1
2200,144179200,2.000e-03,3.7068,4.0108,3.7193,661.1,82.4
2300,150732800,2.000e-03,3.6852,4.0091,3.7152,776.7,98.7
2400,157286400,2.000e-03,3.6834,3.9971,3.7023,890.6,112.5
2500,163840000,2.000e-03,3.6673,3.9827,3.6938,1004.0,125.4
2600,170393600,2.000e-03,3.6701,3.9574,3.6869,1115.7,137.5
2700,176947200,2.000e-03,3.6564,3.9581,3.6809,1229.3,151.8
2800,183500800,2.000e-03,3.6431,3.9395,3.6694,1341.4,165.4
2900,190054400,2.000e-03,3.6360,3.9503,3.6662,1454.7,179.9
3000,196608000,2.000e-03,3.6370,3.9328,3.6596,1566.6,192.9
3100,203161600,2.000e-03,3.6276,3.9210,3.6484,1679.3,206.3
3200,209715200,2.000e-03,3.6302,3.9335,3.6426,1792.7,220.8
3300,216268800,2.000e-03,3.6204,3.8951,3.6399,1901.3,229.8
3400,222822400,2.000e-03,3.6093,3.8987,3.6303,2009.9,238.0
3500,229376000,2.000e-03,3.6108,3.8957,3.6245,2119.1,246.5
3600,235929600,2.000e-03,3.5974,3.8789,3.6199,2228.4,254.8
3700,242483200,2.000e-03,3.5908,3.8746,3.6168,2341.7,268.1
3800,249036800,2.000e-03,3.5895,3.8689,3.6111,2457.4,283.3
3900,255590400,2.000e-03,3.5814,3.8785,3.6068,2573.0,299.4
4000,262144000,2.000e-03,3.5856,3.8617,3.6080,2688.2,313.9
4100,268697600,2.000e-03,3.5693,3.8516,3.6002,2803.0,329.4
4200,275251200,2.000e-03,3.5695,3.8473,3.5955,2918.8,345.1
4300,281804800,2.000e-03,3.5681,3.8402,3.5911,3034.2,360.2
4400,288358400,2.000e-03,3.5573,3.8465,3.5897,3149.3,374.3
4500,294912000,2.000e-03,3.5648,3.8317,3.5872,3262.8,387.3
4600,301465600,2.000e-03,3.5557,3.8407,3.5835,3376.6,401.0
4700,308019200,2.000e-03,3.5581,3.8500,3.5783,3490.2,414.3
4800,314572800,2.000e-03,3.5478,3.8385,3.5741,3605.3,429.2
4900,321126400,2.000e-03,3.5485,3.8169,3.5761,3719.5,442.8
5000,327680000,2.000e-03,3.5410,3.8279,3.5690,3834.2,456.9
5100,334233600,2.000e-03,3.5371,3.8125,3.5702,3947.8,469.4
5200,340787200,2.000e-03,3.5358,3.8206,3.5656,4062.3,484.1
5300,347340800,2.000e-03,3.5283,3.8329,3.5614,4177.4,497.9
5400,353894400,2.000e-03,3.5360,3.8079,3.5608,4289.6,509.9
5500,360448000,2.000e-03,3.5438,3.7950,3.5573,4401.5,521.1
5600,367001600,2.000e-03,3.5236,3.7973,3.5576,4514.4,533.7
5700,373555200,2.000e-03,3.5179,3.7933,3.5513,4628.1,546.1
5800,380108800,2.000e-03,3.5226,3.7885,3.5510,4740.9,559.3
5900,386662400,2.000e-03,3.5308,3.7862,3.5497,4855.8,573.7
6000,393216000,2.000e-03,3.5173,3.7655,3.5475,4969.8,587.3
6100,399769600,2.000e-03,3.5270,3.7968,3.5432,5083.6,601.2
6200,406323200,2.000e-03,3.5075,3.7955,3.5439,5197.6,614.3
6300,412876800,2.000e-03,3.5143,3.7898,3.5403,5310.6,627.0
6400,419430400,2.000e-03,3.5047,3.7810,3.5359,5424.3,640.3
6500,425984000,1.876e-03,3.5064,3.7805,3.5294,5537.3,652.8
6600,432537600,1.751e-03,3.5075,3.7581,3.5194,5651.6,666.8
6700,439091200,1.626e-03,3.4733,3.7446,3.5057,5766.6,680.7
6800,445644800,1.501e-03,3.4564,3.7313,3.4942,5881.4,694.7
6900,452198400,1.376e-03,3.4660,3.7226,3.4798,5993.9,707.1
7000,458752000,1.251e-03,3.4593,3.7046,3.4675,6107.6,721.1
7100,465305600,1.126e-03,3.4324,3.6754,3.4565,6223.2,736.5
7200,471859200,1.001e-03,3.4210,3.6776,3.4410,6337.3,751.3
7300,478412800,8.762e-04,3.4191,3.6580,3.4287,6444.1,763.1
7400,484966400,7.512e-04,3.4031,3.6362,3.4170,6549.0,775.4
7500,491520000,6.262e-04,3.4002,3.6259,3.4045,6653.0,787.7
7600,498073600,5.012e-04,3.3763,3.6041,3.3931,6757.4,800.8
7700,504627200,3.762e-04,3.3640,3.5939,3.3809,6863.3,816.0
7800,511180800,2.512e-04,3.3329,3.5804,3.3707,6969.5,831.0
7900,517734400,1.263e-04,3.3384,3.5749,3.3624,7074.9,845.9
8000,524288000,1.250e-06,3.3341,3.5397,3.3250,7183.5,860.3
