step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,2.000e-05,10.7453,10.7275,10.7190,2.6,0.2
100,6553600,2.000e-03,7.0277,6.7319,5.6515,105.5,8.0
200,13107200,4.000e-03,5.2586,6.1512,5.0134,211.4,16.1
300,19660800,4.000e-03,4.8584,5.7053,4.7083,317.3,24.1
400,26214400,4.000e-03,4.5366,5.0697,4.4136,423.0,32.2
500,32768000,4.000e-03,4.2996,4.7557,4.2686,528.9,40.3
600,39321600,4.000e-03,4.1811,4.5919,4.1677,635.1,48.4
700,45875200,4.000e-03,4.1153,4.4875,4.1001,740.9,56.4
800,52428800,4.000e-03,4.0416,4.4252,4.0497,846.8,64.5
900,58982400,4.000e-03,4.0024,4.3505,4.0001,952.5,72.6
1000,65536000,4.000e-03,3.9474,4.3359,3.9690,1058.7,80.7
1100,72089600,4.000e-03,3.9323,4.2642,3.9387,1164.6,88.8
1200,78643200,4.000e-03,3.8979,4.2434,3.9141,1271.2,96.9
1300,85196800,4.000e-03,3.8572,4.2267,3.8903,1377.3,105.0
1400,91750400,4.000e-03,3.8513,4.1808,3.8656,1482.8,112.9
1500,98304000,4.000e-03,3.8210,4.1442,3.8458,1588.8,120.8
1600,104857600,4.000e-03,3.8052,4.1268,3.8302,1694.8,128.7
1700,111411200,3.010e-03,3.7799,4.0736,3.7780,1800.7,136.8
1800,117964800,2.010e-03,3.7140,3.9932,3.7202,1907.8,144.9
1900,124518400,1.010e-03,3.6663,3.9193,3.6632,2014.9,153.1
2000,131072000,1.000e-05,3.6131,3.8612,3.5960,2125.3,161.2
