step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,2.65647,2.93910,2.96076,2.81811,2.59287,1.97150,9.1
25,819200,1.000e-05,2.62525,2.65625,2.94055,2.96477,2.80754,2.59672,1.97165,397.4
50,1638400,1.000e-05,2.67949,2.66166,2.94662,2.97226,2.80202,2.60341,1.98398,783.9
75,2457600,1.000e-05,2.64266,2.66595,2.95188,2.97848,2.80331,2.60765,1.98844,1170.6
100,3276800,1.000e-05,2.61124,2.66956,2.95715,2.97990,2.80593,2.61204,1.99277,1557.2
125,4096000,1.000e-05,2.61216,2.67233,2.96349,2.98349,2.80365,2.61404,1.99701,1944.0
150,4915200,1.000e-05,2.61560,2.67668,2.96618,2.98763,2.80920,2.62041,2.00000,2330.8
175,5734400,6.500e-06,2.59821,2.67857,2.96869,2.99004,2.80584,2.62170,2.00655,2717.6
200,6553600,2.500e-07,2.56242,2.67704,2.96686,2.98973,2.80275,2.62180,2.00405,3104.3
