step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7438,10.7354,10.7457,3.3,0.5
100,6553600,1.000e-03,7.5014,6.8656,5.8222,111.8,15.1
200,13107200,2.000e-03,5.4272,6.1783,5.0976,225.1,29.5
300,19660800,2.000e-03,4.8855,5.7709,4.7282,336.4,41.8
400,26214400,2.000e-03,4.5834,5.2434,4.4668,446.6,53.8
500,32768000,2.000e-03,4.3388,4.8573,4.2735,556.4,65.9
600,39321600,2.000e-03,4.1862,4.6582,4.1763,668.0,79.5
700,45875200,2.000e-03,4.1001,4.5460,4.0994,779.4,93.5
800,52428800,2.000e-03,4.0391,4.4466,4.0499,886.9,106.5
900,58982400,2.000e-03,3.9851,4.3808,3.9995,990.6,118.5
1000,65536000,2.000e-03,3.9473,4.3369,3.9642,1094.4,131.7
1100,72089600,2.000e-03,3.9186,4.2833,3.9249,1198.3,145.6
1200,78643200,2.000e-03,3.8854,4.2632,3.8969,1300.6,158.0
1300,85196800,2.000e-03,3.8515,4.1991,3.8730,1402.3,170.2
1400,91750400,2.000e-03,3.8282,4.1730,3.8483,1505.6,183.8
1500,98304000,2.000e-03,3.8115,4.1508,3.8325,1608.9,197.6
1600,104857600,2.000e-03,3.7952,4.1386,3.8118,1712.4,211.7
1700,111411200,1.505e-03,3.7649,4.0686,3.7631,1814.9,224.9
1800,117964800,1.005e-03,3.7083,4.0115,3.7153,1918.7,239.8
1900,124518400,5.050e-04,3.6572,3.9584,3.6687,2022.1,253.7
2000,131072000,5.000e-06,3.6154,3.9008,3.6088,2129.0,267.5
