step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,8.000e-05,10.7453,10.6999,10.6812,2.5,0.2
100,6553600,8.000e-03,6.5299,6.7056,5.5796,87.2,7.6
200,13107200,1.600e-02,5.2706,6.1638,5.0468,173.6,15.1
300,19660800,1.600e-02,4.8780,5.7311,4.7230,262.6,22.7
400,26214400,1.600e-02,4.5452,5.0261,4.4216,352.2,30.3
500,32768000,1.600e-02,4.3111,4.7376,4.2903,441.9,37.8
600,39321600,1.600e-02,4.2080,4.5946,4.2057,531.8,45.4
700,45875200,1.600e-02,4.1547,4.5219,4.1488,621.8,53.0
800,52428800,1.600e-02,4.0941,4.4879,4.1102,711.8,60.6
900,58982400,1.600e-02,4.0679,4.4126,4.0752,801.9,68.2
1000,65536000,1.600e-02,4.0222,4.3970,4.0437,891.7,75.7
1100,72089600,1.600e-02,4.0167,4.3369,4.0368,981.8,83.3
1200,78643200,1.600e-02,3.9940,4.3414,4.0127,1071.8,90.8
1300,85196800,1.600e-02,3.9609,4.3442,3.9985,1161.8,98.3
1400,91750400,1.600e-02,3.9660,4.3137,3.9890,1251.7,105.9
1500,98304000,1.600e-02,3.9441,4.3066,3.9809,1341.9,113.4
1600,104857600,1.600e-02,3.9392,4.2705,3.9730,1431.8,121.0
1700,111411200,1.204e-02,3.9112,4.2106,3.9041,1521.9,128.5
1800,117964800,8.040e-03,3.8249,4.0923,3.8219,1611.9,136.1
1900,124518400,4.040e-03,3.7489,3.9897,3.7303,1701.9,143.7
2000,131072000,4.000e-05,3.6656,3.8957,3.6361,1795.3,151.2
