step,tokens,lr,train_loss,eval_loss,eval_c4,eval_cc,eval_books,eval_wiki,eval_arxiv,seconds
0,0,0,,3.30754,3.24795,3.43997,3.25545,3.16989,3.42442,3.3
50,1638400,3.000e-04,3.35696,3.15413,3.19974,3.40632,2.90724,3.16220,3.09514,84.8
100,3276800,3.000e-04,3.22765,3.12539,3.19682,3.40253,2.85425,3.15223,3.02114,164.7
150,4915200,3.000e-04,3.18337,3.11379,3.19453,3.39956,2.85051,3.15283,2.97152,244.6
200,6553600,3.000e-04,3.16638,3.10745,3.19820,3.40077,2.84704,3.14641,2.94485,324.5
250,8192000,3.000e-04,3.16061,3.10375,3.20611,3.40638,2.82523,3.15289,2.92817,404.4
300,9830400,3.000e-04,3.15667,3.10152,3.20625,3.41276,2.82111,3.15446,2.91301,484.3
350,11468800,3.000e-04,3.14639,3.10204,3.20659,3.41790,2.81117,3.16266,2.91190,564.2
400,13107200,3.000e-04,3.14205,3.10054,3.20789,3.41907,2.81250,3.16673,2.89653,644.1
450,14745600,3.000e-04,3.13826,3.10085,3.21925,3.42514,2.80627,3.16811,2.88546,724.0
500,16384000,2.525e-04,3.14176,3.10110,3.21772,3.42496,2.81531,3.16868,2.87885,803.9
550,18022400,1.275e-04,3.10351,3.09089,3.21044,3.42006,2.80240,3.16089,2.86065,883.8
600,19660800,2.500e-06,3.08762,3.08310,3.20393,3.41288,2.79575,3.15249,2.85042,963.7
