step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,5.000e-06,10.7453,10.7344,10.7285,2.6,0.2
100,6553600,5.000e-04,8.0205,7.0814,6.1245,103.6,8.1
200,13107200,1.000e-03,5.6564,6.4558,5.3135,209.8,16.2
300,19660800,1.000e-03,5.0490,5.9877,4.8525,315.8,24.2
400,26214400,1.000e-03,4.7019,5.6194,4.6043,421.2,32.2
500,32768000,1.000e-03,4.4907,5.2046,4.4132,527.1,40.2
600,39321600,1.000e-03,4.2942,4.8443,4.2454,633.0,48.4
700,45875200,1.000e-03,4.1783,4.6796,4.1474,739.5,56.5
800,52428800,1.000e-03,4.0812,4.5279,4.0781,845.8,64.7
900,58982400,1.000e-03,4.0297,4.4397,4.0213,951.7,72.7
1000,65536000,1.000e-03,3.9640,4.3981,3.9774,1057.5,80.6
1100,72089600,1.000e-03,3.9407,4.3033,3.9452,1164.0,88.6
1200,78643200,1.000e-03,3.9029,4.2801,3.9093,1270.5,96.7
1300,85196800,1.000e-03,3.8557,4.2439,3.8841,1376.9,104.7
1400,91750400,1.000e-03,3.8479,4.2148,3.8589,1483.0,112.8
1500,98304000,1.000e-03,3.8160,4.1667,3.8403,1589.4,121.0
1600,104857600,1.000e-03,3.7980,4.1302,3.8195,1695.2,129.0
1700,111411200,7.525e-04,3.7742,4.0997,3.7766,1801.0,137.1
1800,117964800,5.025e-04,3.7182,4.0259,3.7290,1906.7,144.9
1900,124518400,2.525e-04,3.6824,3.9744,3.6825,2013.1,153.0
2000,131072000,2.500e-06,3.6398,3.9294,3.6244,2123.1,160.8
