step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,2.000e-05,10.7453,10.5714,10.5001,2.4,0.1
100,6553600,2.000e-03,7.1241,7.1038,6.0034,86.4,3.6
200,13107200,4.000e-03,5.6484,6.5648,5.3825,172.3,7.2
300,19660800,4.000e-03,5.1664,6.1264,4.9910,258.2,10.7
400,26214400,4.000e-03,4.8595,5.8253,4.7607,344.2,14.2
500,32768000,4.000e-03,4.6464,5.3658,4.5591,430.2,17.7
600,39321600,4.000e-03,4.4482,5.0447,4.4078,516.1,21.3
700,45875200,4.000e-03,4.3403,4.8707,4.3137,602.1,24.8
800,52428800,4.000e-03,4.2436,4.7632,4.2462,688.1,28.3
900,58982400,4.000e-03,4.1923,4.6735,4.1887,774.1,31.8
1000,65536000,4.000e-03,4.1275,4.6209,4.1390,860.0,35.3
1100,72089600,4.000e-03,4.0993,4.5372,4.1083,946.1,38.8
1200,78643200,4.000e-03,4.0594,4.5122,4.0684,1032.0,42.3
1300,85196800,4.000e-03,4.0116,4.4848,4.0381,1118.0,45.8
1400,91750400,4.000e-03,4.0014,4.4462,4.0140,1204.3,49.3
1500,98304000,4.000e-03,3.9662,4.4056,3.9881,1290.2,52.9
1600,104857600,4.000e-03,3.9484,4.3497,3.9733,1376.3,56.4
1700,111411200,3.010e-03,3.9180,4.3007,3.9133,1462.5,59.9
1800,117964800,2.010e-03,3.8457,4.2089,3.8481,1548.5,63.4
1900,124518400,1.010e-03,3.7929,4.1397,3.7836,1634.4,66.9
2000,131072000,1.000e-05,3.7338,4.0735,3.7145,1723.8,70.4
