step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,4.000e-05,10.7453,10.7183,10.7063,2.5,0.2
100,6553600,4.000e-03,6.7106,6.6752,5.5379,87.1,7.7
200,13107200,8.000e-03,5.2422,6.1688,5.0594,172.9,15.2
300,19660800,8.000e-03,4.8767,5.7217,4.7191,261.2,22.8
400,26214400,8.000e-03,4.5386,5.0235,4.4148,350.7,30.3
500,32768000,8.000e-03,4.2916,4.7063,4.2619,440.3,37.8
600,39321600,8.000e-03,4.1747,4.5498,4.1756,530.4,45.4
700,45875200,8.000e-03,4.1104,4.4527,4.1063,620.6,53.0
800,52428800,8.000e-03,4.0413,4.3791,4.0525,710.8,60.5
900,58982400,8.000e-03,4.0050,4.3169,4.0112,801.1,68.2
1000,65536000,8.000e-03,3.9519,4.3016,3.9760,891.5,75.8
1100,72089600,8.000e-03,3.9396,4.2375,3.9564,981.6,83.3
1200,78643200,8.000e-03,3.9103,4.2363,3.9319,1071.8,90.9
1300,85196800,8.000e-03,3.8722,4.2129,3.9067,1162.1,98.5
1400,91750400,8.000e-03,3.8704,4.1777,3.8933,1252.7,106.1
1500,98304000,8.000e-03,3.8455,4.1572,3.8737,1342.9,113.8
1600,104857600,8.000e-03,3.8352,4.1423,3.8633,1433.2,121.4
1700,111411200,6.020e-03,3.8101,4.0909,3.8115,1523.7,129.0
1800,117964800,4.020e-03,3.7377,3.9998,3.7422,1614.0,136.7
1900,124518400,2.020e-03,3.6797,3.9166,3.6703,1704.2,144.3
2000,131072000,2.000e-05,3.6159,3.8420,3.5929,1797.8,151.8
