step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7453,10.7321,10.7253,2.5,0.2
100,6553600,1.000e-03,7.4716,6.8773,5.8489,88.1,8.0
200,13107200,2.000e-03,5.4105,6.2601,5.0937,177.8,15.9
300,19660800,2.000e-03,4.8894,5.8067,4.7293,267.9,23.9
400,26214400,2.000e-03,4.5988,5.4215,4.5078,358.1,31.7
500,32768000,2.000e-03,4.3739,4.9328,4.3015,448.4,39.6
600,39321600,2.000e-03,4.2044,4.6799,4.1820,538.9,47.5
700,45875200,2.000e-03,4.1231,4.5530,4.1067,629.3,55.4
800,52428800,2.000e-03,4.0423,4.4473,4.0456,719.8,63.3
900,58982400,2.000e-03,3.9984,4.3670,3.9961,810.2,71.2
1000,65536000,2.000e-03,3.9389,4.3336,3.9548,900.7,79.1
1100,72089600,2.000e-03,3.9199,4.2738,3.9269,991.1,87.0
1200,78643200,2.000e-03,3.8852,4.2476,3.8969,1081.6,94.9
1300,85196800,2.000e-03,3.8412,4.2054,3.8712,1172.1,102.7
1400,91750400,2.000e-03,3.8329,4.1795,3.8472,1262.5,110.6
1500,98304000,2.000e-03,3.8030,4.1508,3.8260,1353.1,118.5
1600,104857600,2.000e-03,3.7862,4.1182,3.8087,1443.6,126.4
1700,111411200,1.505e-03,3.7621,4.0802,3.7668,1534.1,134.3
1800,117964800,1.005e-03,3.7049,4.0081,3.7153,1624.8,142.3
1900,124518400,5.050e-04,3.6670,3.9528,3.6676,1715.2,150.1
2000,131072000,5.000e-06,3.6236,3.9015,3.6084,1809.2,158.1
