step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,1.000e-05,10.7116,10.6522,10.6084,2.4,0.1
100,6553600,1.000e-03,7.3214,6.9959,5.9518,83.3,3.6
200,13107200,2.000e-03,5.6333,6.5263,5.3833,165.4,7.2
300,19660800,2.000e-03,5.1726,6.1293,5.0068,249.3,10.7
400,26214400,2.000e-03,4.9010,5.8117,4.7838,334.5,14.2
500,32768000,2.000e-03,4.6880,5.4842,4.6022,420.3,17.8
600,39321600,2.000e-03,4.4948,5.0910,4.4196,506.0,21.3
700,45875200,2.000e-03,4.3639,4.9219,4.3237,592.2,24.8
800,52428800,2.000e-03,4.2374,4.7901,4.2386,678.2,28.4
900,58982400,2.000e-03,4.1712,4.8130,4.1989,764.3,31.9
1000,65536000,2.000e-03,4.1213,4.6044,4.1255,850.4,35.4
1100,72089600,2.000e-03,4.0680,4.5210,4.0828,936.4,39.0
1200,78643200,2.000e-03,4.0226,4.4813,4.0476,1022.2,42.5
1300,85196800,2.000e-03,4.0164,4.4398,4.0229,1108.0,46.0
1400,91750400,2.000e-03,3.9748,4.3990,3.9869,1193.8,49.6
1500,98304000,2.000e-03,3.9533,4.3490,3.9652,1279.7,53.1
1600,104857600,2.000e-03,3.9250,4.3245,3.9428,1365.9,56.6
1700,111411200,1.505e-03,3.8928,4.2422,3.8871,1452.1,60.1
1800,117964800,1.005e-03,3.8206,4.1808,3.8269,1538.5,63.7
1900,124518400,5.050e-04,3.7895,4.1086,3.7719,1624.7,67.2
2000,131072000,5.000e-06,3.7128,4.0407,3.7055,1714.5,70.9
