step,tokens,lr,train_loss,eval_mix,eval_indist,seconds,opt_seconds
1,65536,4.000e-05,10.7116,10.7047,10.6959,2.5,0.2
100,6553600,4.000e-03,6.7225,6.6315,5.5550,96.8,7.4
200,13107200,8.000e-03,5.2599,6.1720,5.0452,196.9,14.8
300,19660800,8.000e-03,4.8585,5.6870,4.7061,299.9,22.3
400,26214400,8.000e-03,4.5368,4.9676,4.3970,404.3,29.9
500,32768000,8.000e-03,4.2809,4.6784,4.2503,509.8,37.6
600,39321600,8.000e-03,4.1687,4.5257,4.1613,615.9,45.4
700,45875200,8.000e-03,4.1125,4.4334,4.0972,721.9,53.0
800,52428800,8.000e-03,4.0284,4.3695,4.0509,828.4,60.8
900,58982400,8.000e-03,3.9890,4.3146,4.0079,934.7,68.5
1000,65536000,8.000e-03,3.9560,4.2770,3.9755,1040.6,76.3
1100,72089600,8.000e-03,3.9249,4.2466,3.9518,1146.4,84.0
1200,78643200,8.000e-03,3.8901,4.2126,3.9270,1252.8,91.8
1300,85196800,8.000e-03,3.8950,4.1925,3.9067,1358.6,99.5
1400,91750400,8.000e-03,3.8634,4.1753,3.8888,1465.4,107.5
1500,98304000,8.000e-03,3.8568,4.1683,3.8767,1572.4,115.2
1600,104857600,8.000e-03,3.8388,4.1380,3.8631,1679.9,123.1
1700,111411200,6.020e-03,3.8109,4.0616,3.8069,1786.6,131.0
1800,117964800,4.020e-03,3.7341,3.9871,3.7366,1893.7,138.8
1900,124518400,2.020e-03,3.6917,3.9099,3.6692,1999.4,146.5
2000,131072000,2.000e-05,3.6039,3.8323,3.5909,2110.1,154.3
